# time,cloud general,cloud low,cloud medium,cloud high
1636464600000.0,100.0,85.9,100.0,100.0
1636468200000.0,100.0,91.4,100.0,65.6
1636471800000.0,100.0,28.1,100.0,86.7
1636475400000.0,100.0,22.7,100.0,89.1
1636479000000.0,100.0,0.0,100.0,69.5
1636482600000.0,100.0,0.0,100.0,20.3
1636486200000.0,100.0,0.0,100.0,45.3
1636489800000.0,100.0,1.6,100.0,19.5
1636493400000.0,100.0,0.0,100.0,97.7
1636497000000.0,100.0,0.0,100.0,100.0
1636500600000.0,100.0,0.0,100.0,99.2
1636504200000.0,100.0,0.0,100.0,100.0
1636507800000.0,100.0,0.0,100.0,100.0
1636511400000.0,100.0,1.6,50.8,100.0
1636515000000.0,88.3,15.6,44.5,81.2
1636518600000.0,64.8,38.3,18.0,37.5
1636522200000.0,96.1,7.8,1.6,96.1
1636525800000.0,14.8,8.6,7.0,0.0
1636529400000.0,18.0,14.1,4.7,0.0
1636533000000.0,50.8,18.7,0.8,39.1
1636536600000.0,85.2,18.0,0.0,83.6
1636540200000.0,99.2,63.3,0.0,98.4
1636543800000.0,100.0,60.9,0.8,99.2
1636547400000.0,100.0,29.7,7.0,100.0
1636551000000.0,99.2,24.2,1.6,98.4
1636554600000.0,100.0,85.9,0.8,100.0
1636558200000.0,100.0,89.8,0.0,100.0
1636561800000.0,100.0,70.3,0.8,100.0
1636565400000.0,100.0,99.2,2.3,100.0
1636569000000.0,99.2,17.2,1.6,99.2
1636572600000.0,100.0,39.8,0.0,99.2
1636576200000.0,100.0,100.0,0.0,99.2
1636579800000.0,100.0,100.0,0.8,99.2
1636583400000.0,100.0,100.0,0.0,93.7
1636587000000.0,100.0,100.0,0.0,50.0
1636590600000.0,100.0,100.0,0.0,93.0
1636594200000.0,100.0,100.0,0.0,78.9
1636597800000.0,100.0,100.0,0.0,96.9
1636601400000.0,100.0,100.0,0.8,100.0
1636605000000.0,100.0,100.0,98.4,98.4
1636608600000.0,100.0,100.0,52.3,78.1
1636612200000.0,100.0,100.0,87.5,0.8
1636615800000.0,100.0,100.0,35.2,36.7
1636619400000.0,100.0,100.0,75.0,99.2
1636623000000.0,100.0,100.0,100.0,91.4
1636626600000.0,100.0,100.0,71.9,99.2
1636630200000.0,100.0,100.0,0.0,99.2
1636633800000.0,100.0,100.0,38.3,29.7
1636637400000.0,100.0,100.0,89.1,0.0
1636641000000.0,100.0,100.0,100.0,15.6
1636644600000.0,100.0,100.0,78.1,28.9
1636648200000.0,100.0,100.0,100.0,3.9
1636651800000.0,100.0,100.0,6.2,0.0
1636655400000.0,100.0,100.0,14.8,0.0
1636659000000.0,100.0,100.0,17.2,0.0
1636662600000.0,93.0,93.0,14.1,0.0
1636666200000.0,100.0,100.0,8.6,0.0
1636669800000.0,25.8,17.2,12.5,0.0
1636673400000.0,64.8,60.9,13.3,0.0
1636677000000.0,100.0,100.0,19.5,0.0
1636680600000.0,96.1,94.5,21.1,0.0
1636684200000.0,69.5,57.0,57.0,0.0
1636687800000.0,100.0,100.0,100.0,0.0
1636691400000.0,90.6,89.8,38.3,0.0
1636695000000.0,100.0,100.0,100.0,0.0
1636698600000.0,100.0,100.0,100.0,0.0
1636702200000.0,100.0,100.0,4.7,0.0
1636705800000.0,100.0,100.0,3.1,0.0
1636709400000.0,100.0,100.0,0.0,0.0
1636713000000.0,100.0,100.0,0.8,0.0
1636716600000.0,86.7,86.7,0.0,0.0
1636720200000.0,97.7,97.7,0.0,36.7
1636723800000.0,99.2,92.2,0.0,85.9
1636727400000.0,99.2,84.4,0.0,95.3
1636731000000.0,93.7,45.3,0.0,87.5
1636734600000.0,97.7,79.7,0.0,89.8
1636738200000.0,95.3,85.2,0.0,75.8
1636741800000.0,96.9,82.8,0.0,85.2
1636745400000.0,100.0,72.7,0.0,100.0
1636749000000.0,100.0,66.4,0.0,100.0
1636752600000.0,96.1,44.5,0.0,92.2
1636756200000.0,96.9,17.2,8.6,96.1
1636759800000.0,100.0,3.1,33.6,100.0
1636763400000.0,99.2,7.0,19.5,99.2
1636767000000.0,97.7,28.1,5.5,96.1
1636770600000.0,98.4,76.6,25.8,95.3
1636774200000.0,95.3,82.0,10.2,60.9
1636777800000.0,100.0,100.0,0.0,90.6
1636781400000.0,100.0,100.0,0.0,80.5
1636785000000.0,100.0,100.0,1.6,4.7
1636788600000.0,100.0,100.0,40.6,0.0
1636792200000.0,100.0,100.0,99.2,26.6
1636795800000.0,100.0,100.0,26.6,46.9
1636799400000.0,100.0,100.0,31.2,100.0
1636803000000.0,100.0,100.0,39.8,85.9
1636806600000.0,100.0,96.9,8.6,92.2
1636810200000.0,100.0,81.2,5.5,99.2
1636813800000.0,100.0,100.0,2.3,51.6
1636817400000.0,88.3,88.3,1.6,0.0
1636821000000.0,100.0,100.0,13.3,0.0
1636824600000.0,55.5,53.1,7.0,0.0
1636828200000.0,75.0,75.0,0.0,0.0
1636831800000.0,100.0,100.0,0.0,0.0
1636835400000.0,94.5,94.5,0.0,0.0
1636839000000.0,100.0,100.0,0.0,0.0
1636842600000.0,75.0,74.2,0.0,0.8
1636846200000.0,24.2,13.3,0.0,12.5
1636849800000.0,48.4,43.0,0.0,9.4
1636853400000.0,98.4,98.4,0.0,21.1
1636857000000.0,98.4,98.4,0.0,0.0
1636860600000.0,100.0,100.0,0.0,0.0
1636864200000.0,82.8,82.8,0.0,0.0
1636867800000.0,100.0,100.0,0.0,27.3
1636871400000.0,100.0,100.0,0.0,78.1
1636875000000.0,100.0,100.0,0.0,90.6
1636878600000.0,100.0,100.0,0.0,3.1
1636882200000.0,71.1,71.1,0.0,0.0
1636885800000.0,100.0,100.0,0.0,63.3
1636889400000.0,100.0,100.0,0.0,48.4
1636893000000.0,100.0,100.0,0.0,28.9
1636896600000.0,100.0,100.0,0.0,30.5
1636900200000.0,93.7,71.1,0.0,70.3
1636903800000.0,100.0,100.0,0.0,87.5
1636907400000.0,100.0,100.0,0.0,60.9
1636911000000.0,97.7,78.9,0.0,86.7
1636914600000.0,100.0,100.0,0.0,93.7
1636918200000.0,100.0,93.7,0.0,99.2
1636921800000.0,88.3,45.3,0.0,78.9
1636925400000.0,95.3,93.0,0.0,30.5
1636929000000.0,96.9,39.8,17.2,94.5
1636932600000.0,100.0,74.2,4.7,100.0
1636936200000.0,100.0,88.3,41.4,99.2
1636939800000.0,100.0,100.0,35.2,100.0
1636943400000.0,100.0,100.0,100.0,100.0
1636947000000.0,100.0,100.0,100.0,100.0
1636950600000.0,100.0,85.2,99.2,100.0
1636954200000.0,88.3,1.6,0.0,88.3
1636957800000.0,64.1,64.1,0.0,0.0
1636961400000.0,100.0,100.0,0.8,0.0
1636965000000.0,60.9,60.9,0.0,0.0
1636968600000.0,63.3,58.6,0.0,13.3
1636972200000.0,94.5,89.1,0.0,33.6
1636975800000.0,89.1,53.9,0.0,78.1
1636979400000.0,99.2,46.9,0.0,99.2
1636983000000.0,56.2,32.0,0.0,35.9
1636986600000.0,100.0,100.0,0.0,78.9
1636990200000.0,100.0,100.0,0.0,89.1
1636993800000.0,100.0,24.2,0.0,100.0
1636997400000.0,100.0,21.1,0.0,100.0
1637001000000.0,100.0,31.2,0.0,100.0
1637004600000.0,100.0,59.4,0.0,100.0
1637008200000.0,100.0,90.6,0.8,100.0
1637011800000.0,100.0,89.1,0.0,98.4
1637015400000.0,100.0,100.0,0.0,99.2
1637019000000.0,100.0,100.0,5.5,100.0
1637022600000.0,100.0,100.0,3.9,75.8
1637026200000.0,100.0,98.4,20.3,100.0
1637029800000.0,100.0,98.4,21.1,100.0
1637033400000.0,100.0,73.4,32.0,100.0
1637037000000.0,100.0,88.3,11.7,100.0
1637040600000.0,100.0,99.2,100.0,98.4
1637044200000.0,100.0,100.0,54.7,100.0
1637047800000.0,100.0,100.0,82.0,100.0
1637051400000.0,100.0,100.0,95.3,50.0
1637055000000.0,100.0,100.0,23.4,32.8
1637058600000.0,100.0,100.0,0.0,78.1
1637062200000.0,96.9,37.5,0.0,95.3
1637065800000.0,97.7,38.3,67.2,92.2
1637069400000.0,100.0,45.3,100.0,100.0
1637073000000.0,100.0,34.4,33.6,100.0
1637076600000.0,88.3,60.9,1.6,37.5
1637080200000.0,100.0,100.0,53.9,0.0
1637083800000.0,98.4,98.4,0.0,17.2
1637087400000.0,100.0,99.2,0.0,42.2
1637091000000.0,32.0,29.7,0.0,3.1
1637094600000.0,43.0,28.9,0.0,19.5
1637098200000.0,100.0,100.0,0.0,46.1
1637101800000.0,100.0,28.1,0.0,99.2
1637105400000.0,100.0,97.7,0.0,99.2
1637109000000.0,97.7,96.1,0.0,36.7
1637112600000.0,99.2,94.5,6.2,80.5
1637116200000.0,95.3,82.8,19.5,69.5
1637119800000.0,96.1,3.9,78.9,94.5
1637123400000.0,100.0,3.1,19.5,100.0
1637127000000.0,100.0,2.3,45.3,100.0
1637130600000.0,95.3,0.8,0.0,95.3
1637134200000.0,100.0,0.8,0.0,100.0
1637137800000.0,98.4,6.2,0.0,98.4
1637141400000.0,93.7,44.5,0.0,89.1
1637145000000.0,98.4,76.6,0.0,92.2
1637148600000.0,84.4,77.3,1.6,29.7
1637152200000.0,56.2,56.2,0.0,0.0
1637155800000.0,100.0,100.0,0.8,0.0
1637159400000.0,98.4,98.4,0.0,0.0
1637163000000.0,51.6,51.6,0.8,0.0
1637166600000.0,54.7,43.0,18.0,0.0
1637170200000.0,48.4,4.7,42.2,4.7
1637173800000.0,27.3,3.9,19.5,5.5
1637177400000.0,19.5,4.7,12.5,3.9
1637181000000.0,86.7,86.7,0.8,0.0
1637184600000.0,37.5,20.3,0.8,21.9
1637188200000.0,100.0,98.4,0.8,96.9
1637191800000.0,100.0,25.0,0.0,100.0
1637195400000.0,98.4,13.3,0.0,98.4
1637199000000.0,100.0,51.6,0.0,100.0
1637202600000.0,100.0,98.4,0.0,100.0
1637206200000.0,100.0,100.0,0.0,100.0
1637209800000.0,100.0,100.0,0.0,100.0
1637213400000.0,100.0,100.0,0.0,21.1
1637217000000.0,100.0,100.0,0.0,0.8
1637220600000.0,100.0,100.0,0.0,0.0
1637224200000.0,97.7,97.7,0.0,0.0
1637227800000.0,100.0,100.0,0.0,0.0
1637231400000.0,100.0,100.0,0.0,32.0
1637235000000.0,100.0,100.0,0.0,4.7
1637238600000.0,91.4,91.4,0.0,0.0
1637242200000.0,32.8,31.2,0.0,3.1
1637245800000.0,71.9,67.2,5.5,10.9
1637249400000.0,85.9,57.0,7.0,66.4
1637253000000.0,69.5,51.6,0.0,37.5
1637256600000.0,51.6,39.8,0.8,19.5
1637260200000.0,54.7,46.9,9.4,12.5
1637263800000.0,100.0,100.0,4.7,0.0
1637267400000.0,96.1,96.1,0.0,0.0
1637271000000.0,75.0,75.0,0.0,0.0
1637274600000.0,100.0,100.0,0.0,0.0
1637278200000.0,100.0,100.0,0.0,0.0
1637281800000.0,100.0,100.0,0.0,0.0
1637285400000.0,100.0,100.0,0.0,0.0
1637289000000.0,100.0,100.0,0.0,0.0
1637292600000.0,100.0,100.0,0.0,0.0
1637296200000.0,100.0,100.0,0.0,0.0
1637299800000.0,100.0,100.0,0.0,0.0
1637303400000.0,100.0,100.0,0.0,0.0
1637307000000.0,100.0,100.0,0.0,0.0
1637310600000.0,96.1,96.1,0.0,0.0
1637314200000.0,68.0,68.0,0.0,0.0
1637317800000.0,74.2,74.2,0.0,0.0
1637321400000.0,67.2,67.2,0.0,0.0
1637325000000.0,94.5,94.5,0.0,0.0
1637328600000.0,62.5,62.5,0.0,0.0
1637332200000.0,89.1,89.1,0.0,0.0
1637335800000.0,82.0,82.0,0.0,0.0
1637339400000.0,41.4,41.4,0.0,0.0
1637343000000.0,44.5,44.5,0.0,0.0
1637346600000.0,88.3,88.3,0.0,0.0
1637350200000.0,100.0,100.0,0.0,0.0
1637353800000.0,100.0,100.0,0.0,0.0
1637357400000.0,100.0,100.0,0.0,0.0
1637361000000.0,65.6,64.8,0.0,0.0
