# time,irradiance west
1631622600000.0,188.14
1631626200000.0,197.64
1631629800000.0,97.13
1631633400000.0,126.34
1631637000000.0,88.79
1631640600000.0,57.97
1631644200000.0,14.71
1631647800000.0,0.18
1631651400000.0,0.03
1631655000000.0,0.01
1631658600000.0,0.01
1631662200000.0,0.02
1631665800000.0,0.0
1631669400000.0,0.03
1631673000000.0,0.0
1631676600000.0,0.01
1631680200000.0,0.0
1631683800000.0,0.1
1631687400000.0,13.03
1631691000000.0,64.52
1631694600000.0,135.38
1631698200000.0,323.53
1631701800000.0,352.59
1631705400000.0,354.9
1631709000000.0,245.85
1631712600000.0,242.67
1631716200000.0,226.14
1631719800000.0,169.66
1631723400000.0,87.86
1631727000000.0,57.67
1631730600000.0,20.68
1631734200000.0,0.12
1631737800000.0,0.02
1631741400000.0,0.01
1631745000000.0,0.0
1631748600000.0,0.02
1631752200000.0,0.0
1631755800000.0,0.0
1631759400000.0,0.03
1631763000000.0,0.0
1631766600000.0,0.02
1631770200000.0,0.05
1631773800000.0,6.2
1631777400000.0,37.74
1631781000000.0,155.78
1631784600000.0,249.06
1631788200000.0,162.71
1631791800000.0,279.29
1631795400000.0,267.87
1631799000000.0,255.08
1631802600000.0,241.88
1631806200000.0,229.59
1631809800000.0,161.43
1631813400000.0,40.19
1631817000000.0,10.92
1631820600000.0,0.02
1631824200000.0,0.02
1631827800000.0,0.0
1631831400000.0,0.0
1631835000000.0,0.02
1631838600000.0,0.01
1631842200000.0,0.0
1631845800000.0,0.02
1631849400000.0,0.0
1631853000000.0,0.01
1631856600000.0,0.03
1631860200000.0,5.08
1631863800000.0,56.08
1631867400000.0,78.02
1631871000000.0,190.97
1631874600000.0,332.47
1631878200000.0,385.59
1631881800000.0,362.06
1631885400000.0,601.04
1631889000000.0,243.31
1631892600000.0,370.8
1631896200000.0,360.72
1631899800000.0,55.79
1631903400000.0,12.28
1631907000000.0,0.08
1631910600000.0,0.02
1631914200000.0,0.02
1631917800000.0,0.02
1631921400000.0,0.01
1631925000000.0,0.01
1631928600000.0,0.01
1631932200000.0,0.01
1631935800000.0,0.0
1631939400000.0,0.01
1631943000000.0,0.1
1631946600000.0,14.96
1631950200000.0,94.04
1631953800000.0,193.97
1631957400000.0,309.31
1631961000000.0,343.31
1631964600000.0,602.67
1631968200000.0,544.01
1631971800000.0,284.09
1631975400000.0,124.45
1631979000000.0,69.15
1631982600000.0,31.7
1631986200000.0,18.95
1631989800000.0,3.69
1631993400000.0,0.03
1631997000000.0,0.01
1632000600000.0,0.03
1632004200000.0,0.0
1632007800000.0,0.02
1632011400000.0,0.01
1632015000000.0,0.0
1632018600000.0,0.01
1632022200000.0,0.01
1632025800000.0,0.01
1632029400000.0,0.04
1632033000000.0,12.61
1632036600000.0,49.22
1632040200000.0,167.47
1632043800000.0,316.07
1632047400000.0,453.43
1632051000000.0,462.28
1632054600000.0,474.29
1632058200000.0,415.53
1632061800000.0,544.96
1632065400000.0,409.68
1632069000000.0,229.16
1632072600000.0,58.87
1632076200000.0,10.0
