# time, west PV power
1626784200000.00,1905.90
1626787800000.00,1780.10
1626791400000.00,1551.49
1626795000000.00,1261.06
1626798600000.00,948.32
1626802200000.00,582.67
1626805800000.00,180.72
1626809400000.00,97.10
1626813000000.00,21.96
1626816600000.00,0.00
1626820200000.00,0.00
1626823800000.00,0.00
1626827400000.00,0.00
1626831000000.00,0.00
1626834600000.00,0.00
1626838200000.00,0.00
1626841800000.00,2.50
1626845400000.00,30.83
1626849000000.00,593.48
1626852600000.00,484.94
1626856200000.00,368.14
1626859800000.00,11.10
1626863400000.00,14.88
1626867000000.00,103.61
1626870600000.00,11.20
1626874200000.00,11.18
1626877800000.00,14.92
1626881400000.00,80.92
1626885000000.00,328.26
1626888600000.00,11.06
1626892200000.00,139.47
1626895800000.00,113.83
1626899400000.00,10.81
1626903000000.00,0.00
1626906600000.00,0.00
1626910200000.00,0.00
1626913800000.00,0.00
1626917400000.00,0.00
1626921000000.00,0.00
1626924600000.00,0.00
1626928200000.00,2.23
1626931800000.00,90.89
1626935400000.00,468.60
1626939000000.00,1010.04
1626942600000.00,1369.58
1626946200000.00,1220.93
1626949800000.00,1147.00
1626953400000.00,1621.39
1626957000000.00,1843.44
1626960600000.00,1736.83
1626964200000.00,1607.86
1626967800000.00,1313.53
1626971400000.00,926.02
1626975000000.00,548.26
1626978600000.00,236.12
1626982200000.00,111.50
1626985800000.00,20.60
1626989400000.00,0.00
1626993000000.00,0.00
1626996600000.00,0.00
1627000200000.00,0.00
1627003800000.00,0.00
1627007400000.00,0.00
1627011000000.00,0.00
1627014600000.00,1.77
1627018200000.00,126.21
1627021800000.00,550.14
1627025400000.00,1075.35
1627029000000.00,1466.91
1627032600000.00,1458.32
1627036200000.00,1510.60
1627039800000.00,1506.46
1627043400000.00,1844.77
1627047000000.00,1721.26
1627050600000.00,1535.05
1627054200000.00,1239.30
1627057800000.00,971.04
1627061400000.00,465.33
1627065000000.00,282.56
1627068600000.00,125.87
1627072200000.00,8.62
1627075800000.00,0.00
1627079400000.00,0.00
1627083000000.00,0.00
1627086600000.00,0.00
1627090200000.00,0.00
1627093800000.00,0.00
