# time,airtemp,celltemp
1629203400000.0,20.87,31.96
1629207000000.0,20.79,30.33
1629210600000.0,20.69,30.39
1629214200000.0,20.37,30.05
1629217800000.0,19.4,26.83
1629221400000.0,17.95,21.93
1629225000000.0,16.74,19.39
1629228600000.0,15.5,16.9
1629232200000.0,14.85,15.96
1629235800000.0,14.5,15.66
1629239400000.0,13.47,13.52
1629243000000.0,11.73,11.01
1629246600000.0,12.16,12.32
1629250200000.0,12.74,14.03
1629253800000.0,13.05,14.29
1629257400000.0,13.04,14.33
1629261000000.0,13.22,14.62
1629264600000.0,12.98,14.36
1629268200000.0,13.74,16.02
1629271800000.0,15.16,19.7
1629275400000.0,16.44,23.48
1629279000000.0,17.4,24.95
1629282600000.0,17.98,26.27
1629286200000.0,20.07,31.04
1629289800000.0,21.05,36.21
1629293400000.0,21.67,40.46
1629297000000.0,23.07,44.12
1629300600000.0,24.12,41.87
1629304200000.0,22.99,32.15
1629307800000.0,20.02,25.63
1629311400000.0,17.63,20.47
1629315000000.0,16.37,18.19
1629318600000.0,14.67,16.05
1629322200000.0,14.3,15.72
1629325800000.0,14.67,15.84
1629329400000.0,15.13,16.32
1629333000000.0,15.72,16.85
1629336600000.0,15.58,16.29
1629340200000.0,15.28,15.84
1629343800000.0,15.43,16.46
1629347400000.0,15.46,16.25
1629351000000.0,15.28,16.16
1629354600000.0,15.83,17.79
1629358200000.0,19.63,22.05
1629361800000.0,19.21,25.53
1629365400000.0,21.01,30.89
1629369000000.0,22.21,33.12
1629372600000.0,23.43,36.48
1629376200000.0,24.25,39.78
1629379800000.0,24.91,42.33
1629383400000.0,25.0,45.77
1629387000000.0,23.12,32.4
1629390600000.0,22.56,30.23
1629394200000.0,20.75,24.89
1629397800000.0,19.68,22.93
1629401400000.0,17.88,19.05
1629405000000.0,17.21,18.29
1629408600000.0,16.7,17.52
1629412200000.0,16.72,17.62
1629415800000.0,16.84,17.75
1629419400000.0,16.91,17.86
1629423000000.0,16.94,17.84
1629426600000.0,16.94,17.81
1629430200000.0,17.0,17.76
1629433800000.0,17.0,17.79
1629437400000.0,17.02,17.9
1629441000000.0,17.3,18.42
1629444600000.0,17.56,18.89
1629448200000.0,17.62,19.1
1629451800000.0,17.85,19.5
1629455400000.0,17.98,20.09
1629459000000.0,18.38,21.46
1629462600000.0,18.31,20.98
1629466200000.0,18.04,20.41
1629469800000.0,18.18,20.9
1629473400000.0,18.66,21.13
1629477000000.0,19.95,23.85
1629480600000.0,22.02,27.18
1629484200000.0,19.5,22.43
1629487800000.0,17.15,17.7
1629491400000.0,15.5,15.63
1629495000000.0,15.19,16.38
1629498600000.0,15.02,15.68
1629502200000.0,14.73,15.25
1629505800000.0,14.83,15.75
1629509400000.0,15.28,16.63
1629513000000.0,15.47,16.61
1629516600000.0,15.61,17.01
1629520200000.0,15.6,17.03
1629523800000.0,15.64,16.91
1629527400000.0,16.09,18.15
1629531000000.0,16.47,18.75
1629534600000.0,18.54,23.79
1629538200000.0,20.89,29.32
1629541800000.0,22.09,33.33
1629545400000.0,21.93,31.66
1629549000000.0,23.1,41.03
1629552600000.0,23.92,41.57
1629556200000.0,23.56,40.61
1629559800000.0,22.65,39.58
1629563400000.0,22.66,32.7
1629567000000.0,21.47,29.12
1629570600000.0,19.03,21.8
1629574200000.0,17.02,17.53
1629577800000.0,14.47,13.94
1629581400000.0,14.6,15.07
1629585000000.0,14.13,13.9
1629588600000.0,14.18,15.06
1629592200000.0,13.18,12.88
1629595800000.0,12.66,13.12
1629599400000.0,12.92,13.57
1629603000000.0,12.76,13.59
1629606600000.0,13.3,14.27
1629610200000.0,11.85,11.41
1629613800000.0,15.28,13.49
1629617400000.0,18.98,20.27
1629621000000.0,19.28,28.0
1629624600000.0,22.84,35.43
1629628200000.0,23.01,34.42
1629631800000.0,22.42,32.12
1629635400000.0,22.22,31.97
1629639000000.0,20.16,25.26
1629642600000.0,19.82,25.27
1629646200000.0,21.59,31.48
1629649800000.0,23.38,35.09
1629653400000.0,21.75,26.97
1629657000000.0,20.56,23.75
1629660600000.0,18.97,20.8
1629664200000.0,17.77,19.35
1629667800000.0,17.49,19.36
1629671400000.0,17.38,19.14
1629675000000.0,17.12,18.59
1629678600000.0,17.12,18.92
1629682200000.0,16.82,18.28
1629685800000.0,16.88,18.59
1629689400000.0,16.88,18.08
1629693000000.0,16.02,16.99
1629696600000.0,15.23,15.62
1629700200000.0,16.01,17.91
1629703800000.0,18.48,21.32
1629707400000.0,21.57,29.38
1629711000000.0,21.8,29.95
1629714600000.0,23.03,32.73
1629718200000.0,24.96,38.03
1629721800000.0,25.56,41.2
1629725400000.0,25.93,47.61
