# time,voltage,current
1629203400000.0,308.14,3.45
1629207000000.0,309.66,2.9
1629210600000.0,310.26,2.9
1629214200000.0,311.43,2.71
1629217800000.0,312.17,1.91
1629221400000.0,306.71,0.98
1629225000000.0,297.5,0.52
1629228600000.0,246.11,0.08
1629232200000.0,40.16,0.01
1629235800000.0,1.4,0.01
1629239400000.0,0.73,0.0
1629243000000.0,0.12,0.0
1629246600000.0,0.24,0.0
1629250200000.0,0.37,0.0
1629253800000.0,0.38,0.0
1629257400000.0,0.39,0.0
1629261000000.0,8.8,0.0
1629264600000.0,183.46,0.07
1629268200000.0,302.22,0.55
1629271800000.0,313.05,1.21
1629275400000.0,308.67,2.25
1629279000000.0,311.16,1.93
1629282600000.0,311.32,2.11
1629286200000.0,308.99,2.89
1629289800000.0,303.24,3.74
1629293400000.0,301.1,4.4
1629297000000.0,299.8,4.55
1629300600000.0,303.8,3.53
1629304200000.0,303.04,1.78
1629307800000.0,305.21,1.0
1629311400000.0,290.3,0.32
1629315000000.0,209.33,0.06
1629318600000.0,25.06,0.01
1629322200000.0,1.88,0.0
1629325800000.0,1.42,0.0
1629329400000.0,0.78,0.01
1629333000000.0,0.53,0.01
1629336600000.0,0.29,0.0
1629340200000.0,0.26,0.0
1629343800000.0,0.55,0.0
1629347400000.0,6.1,0.0
1629351000000.0,157.21,0.06
1629354600000.0,285.42,0.32
1629358200000.0,309.89,2.08
1629361800000.0,308.53,2.01
1629365400000.0,306.84,3.55
1629369000000.0,305.95,3.14
1629372600000.0,304.9,3.64
1629376200000.0,299.56,3.72
1629379800000.0,300.72,4.59
1629383400000.0,297.63,5.1
1629387000000.0,306.69,1.98
1629390600000.0,306.38,1.64
1629394200000.0,300.92,0.77
1629397800000.0,295.74,0.56
1629401400000.0,247.1,0.1
1629405000000.0,35.58,0.01
1629408600000.0,2.08,0.01
1629412200000.0,1.48,0.0
1629415800000.0,0.68,0.01
1629419400000.0,0.73,0.0
1629423000000.0,0.72,0.0
1629426600000.0,0.69,0.01
1629430200000.0,0.78,0.01
1629433800000.0,3.29,0.0
1629437400000.0,81.39,0.01
1629441000000.0,275.75,0.26
1629444600000.0,299.78,0.51
1629448200000.0,300.89,0.69
1629451800000.0,304.2,0.79
1629455400000.0,308.3,1.16
1629459000000.0,318.46,2.07
1629462600000.0,315.99,1.7
1629466200000.0,315.77,1.59
1629469800000.0,317.43,1.69
1629473400000.0,316.49,1.71
1629477000000.0,313.82,1.75
1629480600000.0,312.08,1.27
1629484200000.0,298.35,0.64
1629487800000.0,254.27,0.11
1629491400000.0,36.88,0.01
1629495000000.0,1.63,0.0
1629498600000.0,0.97,0.0
1629502200000.0,0.34,0.0
1629505800000.0,0.38,0.0
1629509400000.0,0.49,0.0
1629513000000.0,0.63,0.0
1629516600000.0,0.77,0.0
1629520200000.0,2.54,0.0
1629523800000.0,130.45,0.03
1629527400000.0,290.69,0.38
1629531000000.0,299.42,0.58
1629534600000.0,309.52,2.95
1629538200000.0,297.18,3.89
1629541800000.0,300.16,3.85
1629545400000.0,300.05,2.62
1629549000000.0,296.33,5.59
1629552600000.0,297.12,3.95
1629556200000.0,296.89,3.79
1629559800000.0,308.94,3.82
1629563400000.0,305.5,2.04
1629567000000.0,310.51,1.25
1629570600000.0,294.12,0.48
1629574200000.0,253.39,0.11
1629577800000.0,22.39,0.02
1629581400000.0,1.55,0.0
1629585000000.0,1.06,0.01
1629588600000.0,0.56,0.0
1629592200000.0,0.45,0.0
1629595800000.0,0.4,0.01
1629599400000.0,0.38,0.0
1629603000000.0,0.34,0.0
1629606600000.0,2.56,0.0
1629610200000.0,183.88,0.06
1629613800000.0,309.28,1.01
1629617400000.0,317.91,2.63
1629621000000.0,303.46,3.91
1629624600000.0,301.06,3.59
1629628200000.0,305.85,2.68
1629631800000.0,306.09,2.2
1629635400000.0,307.81,2.12
1629639000000.0,302.28,0.91
1629642600000.0,306.79,1.13
1629646200000.0,309.24,1.98
1629649800000.0,305.94,1.66
1629653400000.0,297.27,0.78
1629657000000.0,276.73,0.25
1629660600000.0,220.5,0.06
1629664200000.0,17.87,0.01
1629667800000.0,0.53,0.0
1629671400000.0,0.56,0.0
1629675000000.0,0.48,0.01
1629678600000.0,0.56,0.0
1629682200000.0,0.53,0.0
1629685800000.0,0.51,0.0
1629689400000.0,0.41,0.01
1629693000000.0,2.24,0.0
1629696600000.0,154.4,0.04
1629700200000.0,294.52,0.38
1629703800000.0,313.12,1.49
1629707400000.0,307.44,2.31
1629711000000.0,308.73,2.03
1629714600000.0,307.88,2.79
1629718200000.0,304.94,3.28
1629721800000.0,301.6,3.96
1629725400000.0,296.87,4.76
1629729000000.0,301.95,4.56
1629732600000.0,308.95,3.21
1629736200000.0,311.98,2.0
1629739800000.0,315.25,0.79
1629743400000.0,292.89,0.39
1629747000000.0,237.27,0.0
1629750600000.0,11.47,0.0
1629754200000.0,1.28,0.0
1629757800000.0,0.97,0.0
1629761400000.0,0.41,0.0
1629765000000.0,0.53,0.0
1629768600000.0,0.51,0.0
1629772200000.0,0.49,0.0
1629775800000.0,0.52,0.0
1629779400000.0,3.07,0.0
1629783000000.0,159.9,0.0
1629786600000.0,289.71,0.7
1629790200000.0,307.86,0.82
1629793800000.0,314.95,1.44
1629797400000.0,309.6,3.46
1629801000000.0,302.81,5.04
1629804600000.0,302.71,6.18
1629808200000.0,299.33,6.11
1629811800000.0,304.91,3.74
1629815400000.0,312.79,4.18
1629819000000.0,306.48,3.08
1629822600000.0,315.52,1.77
1629826200000.0,269.53,0.71
1629829800000.0,286.16,0.28
1629833400000.0,250.29,0.0
1629837000000.0,22.54,0.0
1629840600000.0,1.28,0.0
1629844200000.0,0.97,0.0
1629847800000.0,0.43,0.0
1629851400000.0,0.49,0.0
1629855000000.0,0.51,0.0
1629858600000.0,0.51,0.0
1629862200000.0,0.47,0.0
1629865800000.0,3.43,0.0
1629869400000.0,170.5,0.0
1629873000000.0,302.71,0.46
1629876600000.0,319.3,2.24
1629880200000.0,310.63,3.66
1629883800000.0,311.85,2.97
1629887400000.0,300.63,5.83
