# time,rain_mm
1634045400000.0,0.0
1634049000000.0,0.0
1634052600000.0,0.0
1634056200000.0,0.0
1634059800000.0,0.0
1634063400000.0,0.0
1634067000000.0,0.0
1634070600000.0,0.0
1634074200000.0,0.0
1634077800000.0,0.0
1634081400000.0,0.0
1634085000000.0,0.0
1634088600000.0,0.0
1634092200000.0,0.0
1634095800000.0,0.0
1634099400000.0,0.0
1634103000000.0,0.0
1634106600000.0,0.0
1634110200000.0,0.0
1634113800000.0,0.0
1634117400000.0,0.0
1634121000000.0,0.0
1634124600000.0,0.0
1634128200000.0,0.0
1634131800000.0,0.0
1634135400000.0,0.0
1634139000000.0,0.0
1634142600000.0,0.0
1634146200000.0,0.0
1634149800000.0,0.0
1634153400000.0,0.0
1634157000000.0,0.0
1634160600000.0,0.0
1634164200000.0,0.0
1634167800000.0,0.0
1634171400000.0,0.0
1634175000000.0,0.0
1634178600000.0,0.0
1634182200000.0,0.0
1634185800000.0,0.0
1634189400000.0,0.0
1634193000000.0,0.0
1634196600000.0,0.1
1634200200000.0,0.0
1634203800000.0,0.1
1634207400000.0,0.0
1634211000000.0,0.1
1634214600000.0,0.0
1634218200000.0,0.0
1634221800000.0,0.0
1634225400000.0,0.0
1634229000000.0,0.0
1634232600000.0,0.0
1634236200000.0,0.0
1634239800000.0,0.0
1634243400000.0,0.0
1634247000000.0,0.0
1634250600000.0,0.0
1634254200000.0,0.0
1634257800000.0,0.0
1634261400000.0,0.0
1634265000000.0,0.0
1634268600000.0,0.0
1634272200000.0,0.0
1634275800000.0,0.0
1634279400000.0,0.0
1634283000000.0,0.0
1634286600000.0,0.0
1634290200000.0,0.0
1634293800000.0,0.0
1634297400000.0,0.1
1634301000000.0,0.1
1634304600000.0,0.1
1634308200000.0,0.1
1634311800000.0,0.1
1634315400000.0,0.0
1634319000000.0,0.0
1634322600000.0,0.0
1634326200000.0,0.0
1634329800000.0,0.0
1634333400000.0,0.0
1634337000000.0,0.0
1634340600000.0,0.0
1634344200000.0,0.0
1634347800000.0,0.1
1634351400000.0,0.0
1634355000000.0,0.0
1634358600000.0,0.0
1634362200000.0,0.0
1634365800000.0,0.0
1634369400000.0,0.0
1634373000000.0,0.1
1634376600000.0,0.0
1634380200000.0,0.0
1634383800000.0,0.0
1634387400000.0,0.1
1634391000000.0,0.4
1634394600000.0,0.2
1634398200000.0,0.2
1634401800000.0,0.1
1634405400000.0,0.6
1634409000000.0,0.5
1634412600000.0,0.2
1634416200000.0,0.2
1634419800000.0,0.2
1634423400000.0,0.2
1634427000000.0,0.1
1634430600000.0,0.1
1634434200000.0,0.1
1634437800000.0,0.1
1634441400000.0,0.0
1634445000000.0,0.0
1634448600000.0,0.0
1634452200000.0,0.0
1634455800000.0,0.0
1634459400000.0,0.0
1634463000000.0,0.0
1634466600000.0,0.0
1634470200000.0,0.0
1634473800000.0,0.0
1634477400000.0,0.0
1634481000000.0,0.0
1634484600000.0,0.1
1634488200000.0,0.1
1634491800000.0,0.0
1634495400000.0,0.0
1634499000000.0,0.0
1634502600000.0,0.1
1634506200000.0,0.1
1634509800000.0,0.1
1634513400000.0,0.1
1634517000000.0,0.1
1634520600000.0,1.9
1634524200000.0,3.2
1634527800000.0,1.2
1634531400000.0,0.3
1634535000000.0,0.4
1634538600000.0,0.3
1634542200000.0,0.0
1634545800000.0,0.0
1634549400000.0,0.1
1634553000000.0,0.1
1634556600000.0,0.1
1634560200000.0,0.0
1634563800000.0,0.0
1634567400000.0,0.0
1634571000000.0,0.0
1634574600000.0,0.0
1634578200000.0,0.0
1634581800000.0,0.0
1634585400000.0,0.0
1634589000000.0,0.0
1634592600000.0,0.0
1634596200000.0,0.1
1634599800000.0,0.1
1634603400000.0,0.2
1634607000000.0,0.8
1634610600000.0,0.7
1634614200000.0,1.3
1634617800000.0,0.8
1634621400000.0,0.4
1634625000000.0,0.8
1634628600000.0,1.0
1634632200000.0,0.5
1634635800000.0,0.3
1634639400000.0,0.1
1634643000000.0,0.1
1634646600000.0,0.1
1634650200000.0,0.1
1634653800000.0,0.1
1634657400000.0,0.0
1634661000000.0,0.0
1634664600000.0,0.0
1634668200000.0,0.0
1634671800000.0,0.0
1634675400000.0,0.0
1634679000000.0,0.0
1634682600000.0,0.0
1634686200000.0,0.0
1634689800000.0,0.0
1634693400000.0,0.3
1634697000000.0,1.2
1634700600000.0,5.1
1634704200000.0,2.4
1634707800000.0,0.2
1634711400000.0,0.0
1634715000000.0,1.2
1634718600000.0,0.9
1634722200000.0,0.1
1634725800000.0,0.1
1634729400000.0,0.0
1634733000000.0,0.0
1634736600000.0,0.0
1634740200000.0,0.0
1634743800000.0,0.0
1634747400000.0,0.0
1634751000000.0,0.0
1634754600000.0,0.0
1634758200000.0,0.0
1634761800000.0,0.0
1634765400000.0,0.0
1634769000000.0,0.0
1634772600000.0,0.0
1634776200000.0,0.8
1634779800000.0,0.1
1634783400000.0,0.0
1634787000000.0,0.0
1634790600000.0,0.0
1634794200000.0,0.0
1634797800000.0,0.0
1634801400000.0,0.0
1634805000000.0,0.0
1634808600000.0,0.0
1634812200000.0,0.0
1634815800000.0,0.0
1634819400000.0,0.0
1634823000000.0,0.0
1634826600000.0,0.0
1634830200000.0,0.0
1634833800000.0,0.0
1634837400000.0,0.0
1634841000000.0,0.0
1634844600000.0,0.0
1634848200000.0,0.0
1634851800000.0,0.0
1634855400000.0,0.0
1634859000000.0,0.0
1634862600000.0,0.0
1634866200000.0,0.0
1634869800000.0,0.0
1634873400000.0,0.0
1634877000000.0,0.0
1634880600000.0,0.0
1634884200000.0,0.0
1634887800000.0,0.0
1634891400000.0,0.0
1634895000000.0,0.0
1634898600000.0,0.0
1634902200000.0,0.0
1634905800000.0,0.0
1634909400000.0,0.0
1634913000000.0,0.0
1634916600000.0,0.0
1634920200000.0,0.0
1634923800000.0,0.0
1634927400000.0,0.0
1634931000000.0,0.0
1634934600000.0,0.0
1634938200000.0,0.0
1634941800000.0,0.0
1634945400000.0,0.0
1634949000000.0,0.0
1634952600000.0,0.0
1634956200000.0,0.0
1634959800000.0,0.0
1634963400000.0,0.0
1634967000000.0,0.0
1634970600000.0,0.0
1634974200000.0,0.0
1634977800000.0,0.1
1634981400000.0,0.1
1634985000000.0,0.2
1634988600000.0,0.9
1634992200000.0,0.7
